scope,config,intrinsic_score,term_D,term_H,n_bars,share_of_bars,hardness_noconfig,hardness_noconfig_lo,hardness_noconfig_hi,hardness_noconfig_n,hardness,hardness_lo,hardness_hi,hardness_n,n_notes,n_notes_lo,n_notes_hi,n_notes_n,n_slots,n_slots_lo,n_slots_hi,n_slots_n,nps,nps_lo,nps_hi,nps_n,equiv_speed,equiv_speed_lo,equiv_speed_hi,equiv_speed_n,move_mean,move_mean_lo,move_mean_hi,move_mean_n,each_ratio,each_ratio_lo,each_ratio_hi,each_ratio_n,slide_ratio,slide_ratio_lo,slide_ratio_hi,slide_ratio_n,hold_ratio,hold_ratio_lo,hold_ratio_hi,hold_ratio_n,break_ratio,break_ratio_lo,break_ratio_hi,break_ratio_n,muri_rate,muri_rate_lo,muri_rate_hi,muri_rate_n,finest_divisor,finest_divisor_lo,finest_divisor_hi,finest_divisor_n,level,level_lo,level_hi,level_n,bpm,bpm_lo,bpm_hi,bpm_n,div4,div8,div12,div16,div24,div32,lv_13.0-13.4,lv_13.5-13.9,lv_14.0-14.4,lv_14.5+,bpm_<150,bpm_150-180,bpm_>180,cooccur_top3
config,三叉戟,0.45207,0.17928,0.72486,591,0.018,0.72486,0.71013,0.73958,591,0.62411,0.60694,0.64128,591,11.33841,11.03228,11.64454,591,6.07276,5.85455,6.29097,591,3.97993,3.84415,4.11571,591,5.76732,5.52328,6.01137,591,1.75744,1.68157,1.83332,591,0.78863,0.77134,0.80592,591,0.30857,0.29744,0.3197,591,0.01581,0.01029,0.02132,591,0.03361,0.02654,0.04069,591,0.72589,0.68989,0.76188,591,8.85956,8.46768,9.25144,591,13.75685,13.72423,13.78948,591,161.70655,158.87071,164.5424,591,0.33038,0.44846,0.03561,0.16808,0.01089,0.0,0.32149,0.35871,0.29272,0.02707,0.32826,0.31641,0.35533,挥手段:0.53; 出张:0.39; 连续拍滑:0.36
config,连续拍滑,0.44544,0.17996,0.71092,2432,0.07406,0.71092,0.70383,0.71801,2432,0.5843,0.57658,0.59202,2432,9.73561,9.61241,9.85881,2432,5.50288,5.40732,5.59843,2432,3.99504,3.9252,4.06488,2432,6.24649,5.72255,6.77043,2432,1.60813,1.57713,1.63913,2432,0.7911,0.78273,0.79947,2432,0.3152,0.30995,0.32045,2432,0.01068,0.00849,0.01287,2432,0.03679,0.03256,0.04101,2432,0.66653,0.64779,0.68527,2432,8.64618,7.90803,9.38433,2432,13.64605,13.6307,13.66141,2432,177.14709,175.6717,178.62248,2432,0.38024,0.47225,0.03594,0.09709,0.00543,0.00316,0.47081,0.30798,0.1875,0.03372,0.23314,0.24178,0.52508,出张:0.42; 鼓动段:0.28; 井字星星:0.27
config,双压连续拍滑,0.44445,0.15476,0.73413,104,0.00317,0.73413,0.70159,0.76667,104,0.61811,0.57653,0.6597,104,12.60577,11.92223,13.28931,104,4.80769,4.35471,5.26067,104,3.43574,3.10295,3.76853,104,4.7605,4.22304,5.29796,104,1.4577,1.30957,1.60583,104,0.91305,0.88322,0.94288,104,0.35703,0.33409,0.37998,104,0.01358,0.00276,0.02439,104,0.05668,0.03288,0.08048,104,0.73077,0.64511,0.81643,104,6.71154,5.95799,7.46508,104,13.80096,13.72199,13.87993,104,170.98575,165.58341,176.38809,104,0.57909,0.30276,0.00612,0.07969,0.0,0.0,0.33654,0.30769,0.27885,0.07692,0.19231,0.30769,0.5,三叉戟:0.46; 出张:0.42; 连续双押:0.40
config,同起点拍滑,0.43544,0.16734,0.70354,145,0.00442,0.70354,0.67489,0.73219,145,0.56493,0.532,0.59787,145,10.46207,10.01219,10.91195,145,5.4069,5.1039,5.70989,145,3.71489,3.49666,3.93312,145,5.39815,4.94527,5.85103,145,1.32198,1.18817,1.45579,145,0.7917,0.75638,0.82702,145,0.34677,0.3255,0.36804,145,0.01482,0.00325,0.02639,145,0.04921,0.03068,0.06774,145,0.7931,0.72694,0.85927,145,8.04138,7.27555,8.80721,145,13.65517,13.6015,13.70885,145,168.07412,162.16296,173.98528,145,0.42067,0.42552,0.0,0.12518,0.00069,0.00265,0.32414,0.48276,0.1931,0.0,0.31034,0.22069,0.46897,连续拍滑:0.59; 出张:0.48; 鼓动段:0.26
config,楼梯交互,0.42641,0.4338,0.41903,216,0.00658,0.41903,0.39934,0.43873,216,0.58818,0.57212,0.60423,216,14.22685,13.71851,14.7352,216,13.5,12.99721,14.00279,216,9.63029,9.28286,9.97771,216,11.37346,10.87996,11.86695,216,1.99294,1.93235,2.05353,216,0.09398,0.07305,0.11491,216,0.01384,0.00832,0.01935,216,0.01715,0.00431,0.02999,216,0.03926,0.02592,0.05261,216,0.11574,0.07298,0.1585,216,15.98148,15.28834,16.67462,216,13.81898,13.76322,13.87475,216,174.49537,170.42247,178.56827,216,0.01603,0.14128,0.03241,0.7642,0.01208,0.0261,0.30093,0.31019,0.31019,0.0787,0.19444,0.32407,0.48148,三角交互:0.69; 反手:0.50; 普通交互:0.35
config,大宇宙,0.42554,0.31414,0.53694,324,0.00987,0.53694,0.50944,0.56444,324,0.7739,0.75737,0.79043,324,12.14506,11.63468,12.65544,324,10.09568,9.54144,10.64991,324,6.97399,6.59284,7.35515,324,8.4148,7.88926,8.94034,324,1.73637,1.67903,1.7937,324,0.33206,0.29306,0.37106,324,0.11114,0.09516,0.12711,324,0.02174,0.01093,0.03256,324,0.02842,0.02053,0.03632,324,0.24383,0.197,0.29066,324,12.33951,11.49704,13.18197,324,13.69753,13.65263,13.74243,324,170.19613,165.92169,174.47057,324,0.15461,0.38874,0.03226,0.3735,0.00989,0.01997,0.41358,0.29938,0.2284,0.05864,0.26852,0.2963,0.43519,子弹:0.31; 错位:0.30; 连续拍滑:0.29
config,CYCLES型星星,0.41561,0.13251,0.69872,291,0.00886,0.69872,0.67348,0.72396,291,0.62648,0.59912,0.65384,291,10.68385,10.16337,11.20433,291,4.32646,3.97549,4.67743,291,2.94162,2.71023,3.17302,291,6.74814,3.97688,9.5194,291,1.64844,1.56164,1.73524,291,0.90703,0.88756,0.9265,291,0.34105,0.32536,0.35675,291,0.01838,0.01012,0.02663,291,0.05728,0.04104,0.07353,291,0.53952,0.48215,0.59689,291,10.05498,5.73795,14.37201,291,13.70619,13.659,13.75337,291,164.35395,161.18247,167.52543,291,0.37599,0.3155,0.01778,0.12807,0.01019,0.01389,0.40206,0.34021,0.17869,0.07904,0.25086,0.43643,0.30928,一笔画:1.00; 出张:0.54; 连续双押:0.45
config,死镰段,0.41489,0.23612,0.59365,50,0.00152,0.59365,0.54172,0.64558,50,0.6369,0.57025,0.70356,50,9.6,8.99686,10.20314,50,6.88,6.299,7.461,50,5.24183,4.68146,5.80221,50,7.035,5.90026,8.16974,50,1.15503,1.07107,1.23899,50,0.58304,0.5204,0.64568,50,0.25625,0.21963,0.29286,50,0.005,-0.0048,0.0148,50,0.01258,-0.00265,0.0278,50,0.28,0.15428,0.40572,50,9.04,7.85873,10.22127,50,13.976,13.89264,14.05936,50,177.74,169.0319,186.4481,50,0.23,0.58182,0.0,0.18818,0.0,0.0,0.06,0.48,0.38,0.08,0.16,0.2,0.64,二连扫:1.00; 错位:0.76; 出张:0.74
config,一笔画,0.40944,0.14622,0.67266,2384,0.07259,0.67266,0.66465,0.68066,2384,0.55229,0.54381,0.56076,2384,8.57341,8.43774,8.70907,2384,4.66569,4.57298,4.7584,2384,3.24604,3.1859,3.30618,2384,6.53304,5.7298,7.33627,2384,2.13137,2.09488,2.16787,2384,0.80665,0.79769,0.8156,2384,0.34669,0.34114,0.35224,2384,0.01938,0.01627,0.02248,2384,0.02826,0.02444,0.03208,2384,0.3276,0.30876,0.34644,2384,9.35361,8.35645,10.35077,2384,13.663,13.64778,13.67823,2384,171.2338,169.87689,172.59072,2384,0.36315,0.38332,0.0186,0.14896,0.02097,0.00453,0.41485,0.37039,0.17408,0.04069,0.23364,0.36074,0.40562,出张:0.65; 绕圈星星:0.43; 连续双押:0.28
config,三角交互,0.40537,0.38891,0.42183,789,0.02403,0.42183,0.41001,0.43364,789,0.59194,0.58203,0.60184,789,12.91128,12.64942,13.17314,789,12.09886,11.83739,12.36033,789,8.6339,8.4533,8.8145,789,25.65585,18.05441,33.25729,789,1.96394,1.93213,1.99576,789,0.11926,0.10695,0.13157,789,0.01417,0.01108,0.01727,789,0.04481,0.03347,0.05616,789,0.03224,0.02648,0.03799,789,0.07478,0.05641,0.09314,789,33.07224,24.03428,42.11021,789,13.87288,13.84509,13.90066,789,175.25607,173.06787,177.44427,789,0.02609,0.15013,0.12878,0.64007,0.0187,0.01673,0.23067,0.35868,0.31559,0.09506,0.18758,0.31812,0.4943,反手:0.44; 子弹:0.31; 普通交互:0.30
