scope,config,intrinsic_score,term_D,term_H,n_bars,share_of_bars,hardness_noconfig,hardness_noconfig_lo,hardness_noconfig_hi,hardness_noconfig_n,hardness,hardness_lo,hardness_hi,hardness_n,n_notes,n_notes_lo,n_notes_hi,n_notes_n,n_slots,n_slots_lo,n_slots_hi,n_slots_n,nps,nps_lo,nps_hi,nps_n,equiv_speed,equiv_speed_lo,equiv_speed_hi,equiv_speed_n,move_mean,move_mean_lo,move_mean_hi,move_mean_n,each_ratio,each_ratio_lo,each_ratio_hi,each_ratio_n,slide_ratio,slide_ratio_lo,slide_ratio_hi,slide_ratio_n,hold_ratio,hold_ratio_lo,hold_ratio_hi,hold_ratio_n,break_ratio,break_ratio_lo,break_ratio_hi,break_ratio_n,muri_rate,muri_rate_lo,muri_rate_hi,muri_rate_n,finest_divisor,finest_divisor_lo,finest_divisor_hi,finest_divisor_n,level,level_lo,level_hi,level_n,bpm,bpm_lo,bpm_hi,bpm_n,div4,div8,div12,div16,div24,div32,lv_13.0-13.4,lv_13.5-13.9,lv_14.0-14.4,lv_14.5+,bpm_<150,bpm_150-180,bpm_>180,cooccur_top3
config,三叉戟,0.44696,0.1766,0.71731,590,0.01797,0.71731,0.70235,0.73228,590,0.61827,0.60104,0.6355,590,11.15085,10.8514,11.4503,590,6.01186,5.7922,6.23153,590,3.92052,3.78465,4.05639,590,5.73062,5.48549,5.97576,590,1.7338,1.65839,1.80921,590,0.78364,0.76613,0.80115,590,0.31266,0.30159,0.32373,590,0.01553,0.01016,0.0209,590,0.0304,0.02387,0.03693,590,0.71017,0.67353,0.74681,590,8.81186,8.42435,9.19938,590,13.73288,13.6993,13.76646,590,161.22809,158.30936,164.14682,590,0.32596,0.43561,0.04918,0.16737,0.00899,0.0,0.36102,0.32542,0.28305,0.03051,0.35085,0.3,0.34915,挥手段:0.56; 连续拍滑:0.43; 连续双押:0.25
config,连续拍滑,0.4447,0.1792,0.7102,2792,0.08502,0.7102,0.70345,0.71694,2792,0.58658,0.57932,0.59385,2792,9.6533,9.53839,9.7682,2792,5.49069,5.40241,5.57897,2792,3.97814,3.91382,4.04245,2792,6.38793,5.78918,6.98668,2792,1.59595,1.56688,1.62503,2792,0.78615,0.77831,0.79398,2792,0.31229,0.30736,0.31722,2792,0.01268,0.01043,0.01492,2792,0.03994,0.03573,0.04416,2792,0.65831,0.64071,0.67591,2792,8.94108,7.99776,9.8844,2792,13.63825,13.62398,13.65252,2792,176.983,175.61319,178.3528,2792,0.37035,0.48012,0.03776,0.09724,0.00538,0.00264,0.47672,0.3091,0.18302,0.03116,0.22564,0.25,0.52436,鼓动段:0.30; 井字星星:0.26; 连续双押:0.25
config,散点,0.43642,0.42014,0.45271,450,0.0137,0.45271,0.43285,0.47257,450,0.65568,0.64242,0.66895,450,13.88444,13.3023,14.46659,450,12.89333,12.31993,13.46674,450,9.32705,8.91904,9.73505,450,16.92257,12.59019,21.25496,450,1.32584,1.28024,1.37144,450,0.13346,0.11387,0.15306,450,0.02001,0.01476,0.02526,450,0.00962,0.0053,0.01393,450,0.04836,0.03743,0.0593,450,0.10667,0.07811,0.13522,450,23.59778,17.6664,29.52916,450,13.80756,13.77037,13.84474,450,177.14791,174.12104,180.17478,450,0.04533,0.23863,0.0529,0.46008,0.04222,0.13199,0.33111,0.24667,0.38,0.04222,0.17111,0.34889,0.48,二连扫:0.67; 子弹:0.36; 连续双押:0.29
config,大宇宙,0.4342,0.32031,0.54809,310,0.00944,0.54809,0.52098,0.57519,310,0.78157,0.7655,0.79764,310,12.26452,11.74645,12.78258,310,10.1871,9.62155,10.75264,310,7.11092,6.71854,7.5033,310,8.67971,8.12993,9.22949,310,1.83657,1.77718,1.89596,310,0.33741,0.29903,0.37579,310,0.11981,0.10286,0.13675,310,0.02574,0.01414,0.03734,310,0.02618,0.0184,0.03395,310,0.23226,0.18517,0.27934,310,12.55484,11.69468,13.41499,310,13.7071,13.66081,13.75338,310,171.91982,167.40782,176.43183,310,0.15151,0.38466,0.03909,0.38299,0.01034,0.01909,0.40323,0.29355,0.24839,0.05484,0.27097,0.27419,0.45484,错位:0.32; 连续拍滑:0.31; 子弹:0.29
config,楼梯交互,0.42917,0.43601,0.42234,214,0.00652,0.42234,0.40211,0.44257,214,0.5994,0.58246,0.61634,214,14.27103,13.75773,14.78433,214,13.53271,13.0266,14.03882,214,9.67932,9.32108,10.03757,214,11.47165,10.96672,11.97658,214,1.98415,1.92233,2.04597,214,0.09476,0.07368,0.11584,214,0.01368,0.00818,0.01918,214,0.01731,0.00435,0.03027,214,0.0408,0.0272,0.05439,214,0.1215,0.07762,0.16537,214,16.09346,15.38246,16.80445,214,13.81729,13.76077,13.87381,214,174.75234,170.62483,178.87984,214,0.01712,0.13793,0.03271,0.762,0.0122,0.03009,0.30841,0.29439,0.31776,0.07944,0.20093,0.31308,0.48598,三角交互:0.69; 普通交互:0.35; 连续双押:0.33
config,同起点拍滑,0.42774,0.16442,0.69105,172,0.00524,0.69105,0.66446,0.71764,172,0.58097,0.55456,0.60738,172,10.62791,10.16028,11.09553,172,5.36628,5.07092,5.66164,172,3.65022,3.44782,3.85263,172,10.55072,3.14345,17.95799,172,1.31727,1.19388,1.44067,172,0.80794,0.77615,0.83974,172,0.34398,0.32323,0.36473,172,0.01462,0.00444,0.02479,172,0.05619,0.03768,0.07469,172,0.75,0.6851,0.8149,172,17.25581,4.06598,30.44564,172,13.65174,13.59914,13.70435,172,167.16714,161.63592,172.69836,172,0.41063,0.41564,0.00068,0.1284,0.00058,0.00224,0.36628,0.43605,0.19767,0.0,0.32558,0.23256,0.44186,连续拍滑:0.61; 一笔画:0.27; 鼓动段:0.23
config,死镰段,0.4155,0.23989,0.5911,45,0.00137,0.5911,0.54096,0.64124,45,0.70578,0.64086,0.7707,45,9.6,9.01101,10.18899,45,7.04444,6.45692,7.63197,45,5.32556,4.80533,5.84578,45,6.63,5.65384,7.60616,45,1.11612,1.03834,1.1939,45,0.55432,0.49777,0.61087,45,0.2531,0.21897,0.28723,45,0.0,0.0,0.0,45,0.01439,-0.00558,0.03437,45,0.26667,0.136,0.39733,45,8.62222,7.59621,9.64824,45,13.90889,13.79255,14.02523,45,178.73333,172.20701,185.25965,45,0.15556,0.729,0.0,0.10909,0.0,0.0,0.22222,0.4,0.24444,0.13333,0.06667,0.33333,0.6,二连扫:1.00; 错位:0.84; 连续拍滑:0.09
config,CYCLES型星星,0.41369,0.13251,0.69488,291,0.00886,0.69488,0.66861,0.72115,291,0.61375,0.58597,0.64153,291,10.68385,10.16337,11.20433,291,4.32646,3.97549,4.67743,291,2.94162,2.71023,3.17302,291,6.74814,3.97688,9.5194,291,1.64844,1.56164,1.73524,291,0.90703,0.88756,0.9265,291,0.34105,0.32536,0.35675,291,0.01838,0.01012,0.02663,291,0.05728,0.04104,0.07353,291,0.53952,0.48215,0.59689,291,10.05498,5.73795,14.37201,291,13.70619,13.659,13.75337,291,164.35395,161.18247,167.52543,291,0.37599,0.3155,0.01778,0.12807,0.01019,0.01389,0.40206,0.34021,0.17869,0.07904,0.25086,0.43643,0.30928,一笔画:1.00; 连续双押:0.45; 子弹:0.27
config,一笔画,0.41161,0.14622,0.67701,2384,0.07259,0.67701,0.66888,0.68514,2384,0.55973,0.55113,0.56834,2384,8.57341,8.43774,8.70907,2384,4.66569,4.57298,4.7584,2384,3.24604,3.1859,3.30618,2384,6.53304,5.7298,7.33627,2384,2.13137,2.09488,2.16787,2384,0.80665,0.79769,0.8156,2384,0.34669,0.34114,0.35224,2384,0.01938,0.01627,0.02248,2384,0.02826,0.02444,0.03208,2384,0.3276,0.30876,0.34644,2384,9.35361,8.35645,10.35077,2384,13.663,13.64778,13.67823,2384,171.2338,169.87689,172.59072,2384,0.36315,0.38332,0.0186,0.14896,0.02097,0.00453,0.41485,0.37039,0.17408,0.04069,0.23364,0.36074,0.40562,绕圈星星:0.43; 连续双押:0.28; 出张:0.20
config,绕圈星星,0.40433,0.15093,0.65773,1211,0.03688,0.65773,0.646,0.66947,1211,0.54202,0.52982,0.55423,1211,8.32783,8.14844,8.50722,1211,4.75723,4.62467,4.88979,1211,3.35054,3.26347,3.43762,1211,6.74628,5.18487,8.30769,1211,2.10206,2.04884,2.15528,1211,0.77136,0.75822,0.78451,1211,0.32749,0.31928,0.33571,1211,0.02488,0.01995,0.02982,1211,0.02762,0.0225,0.03273,1211,0.30884,0.2828,0.33487,1211,9.46491,7.54315,11.38666,1211,13.60859,13.58822,13.62895,1211,172.99111,171.03541,174.94682,1211,0.3751,0.4095,0.02148,0.13794,0.0076,0.0034,0.46325,0.37159,0.1346,0.03055,0.24773,0.30884,0.44344,一笔画:0.76; 连续双押:0.24; 出张:0.22
