scope,song,genre,level,bpm,kind,seg_index,start_bar,end_bar,function,label_ja,n_bars,notes_total,n_events,align_err_ms,phi_star_ms,offset_delta_ms,spearman_raw,spearman_smooth,spearman_weighted,pearson_smooth,peak_err_bars,boundary_hit_tol1,boundary_hit_tol2,d_bar_mean,I_mean,suggested_notes,floor_fit,mae_notes,bias_notes,song_kind,seg_voiced,onset_ratio_vd,plan_v02,accent_stems,plan_primary,plan_secondary,best_stem,best_recall,second_stem,second_recall,best_stem_lift,best_lift,plan_agree,plan_agree_top2,plan_agree_lift,recall_drums,recall_bass,recall_other,recall_vocals,prec_vocals,lift_drums,lift_bass,lift_other,lift_vocals,none_share,pool_precision,ending_label,tail_ratio,section_spearman,n_segments,seg_best_drums,seg_best_other,seg_best_vocals,seg_best_bass,seg_plan_agree,seg_plan_agree_top2
song,前前前世,POPS＆アニメ,13.0,190.0,,,,,,,84,697,466,0.0,-7.5,-3.32,0.19,0.14,0.185,0.068,4,0.5,0.5,8.298,,6.682,1.081,2.893,-2.529,vocal,,,,,,,,,,,,,,,,0.646,0.112,0.112,0.129,0.472,3.214,2.046,2.153,1.865,0.27,0.641,tail_kill,1.1,-0.092,10,10,0,0,0,1.0,1.0
song,厨病激発ボーイ,niconico＆ボーカロイド,13.8,190.0,,,,,,,110,928,656,0.0,7.5,8.74,0.367,0.233,0.334,0.36,70,0.75,0.75,8.436,,9.133,0.408,2.921,-0.965,vocal,,,,,,,,,,,,,,,,0.578,0.16,0.116,0.137,0.497,2.949,1.613,3.018,1.832,0.25,0.615,tail_kill,1.348,0.252,12,11,1,0,0,0.917,1.0
song,右肩の蝶,niconico＆ボーカロイド,13.1,140.0,,,,,,,85,757,428,0.0,5.0,14.35,0.461,0.422,0.457,0.511,8,0.25,0.75,8.906,,9.069,0.462,2.988,-2.196,vocal,,,,,,,,,,,,,,,,0.825,0.486,0.355,0.133,0.35,3.123,2.803,2.443,2.028,0.054,0.388,tail_kill,1.305,0.459,12,12,0,0,0,1.0,1.0
song,咲キ誇レ常世ノ華,maimai,13.5,170.0,,,,,,,109,804,479,0.001,5.0,-3.74,0.53,0.413,0.45,0.51,50,0.75,0.75,7.376,,7.255,0.188,2.649,-1.596,vocal,,,,,,,,,,,,,,,,0.699,0.084,0.119,0.219,0.577,3.301,1.379,2.323,2.676,0.15,0.564,tail_kill,1.254,0.337,13,11,2,0,0,0.846,0.923
song,四月の雨,maimai,13.9,79.0,,,,,,,40,634,456,0.0,-5.0,6.27,0.36,0.321,0.184,0.348,2,0.25,0.25,15.85,,21.691,0.422,4.033,0.374,instrumental,,,,,,,,,,,,,,,,0.575,0.068,0.425,0.037,0.179,2.708,2.165,2.352,0.794,0.182,0.604,tail_kill,1.065,0.5,5,4,1,0,0,0.8,1.0
song,回レ！雪月花,POPS＆アニメ,13.3,160.0,,,,,,,59,665,470,0.0,-7.5,10.69,0.265,0.161,0.131,0.218,6,0.5,0.75,11.271,,9.195,0.815,4.726,-4.391,vocal,,,,,,,,,,,,,,,,0.583,0.234,0.272,0.319,0.724,2.466,2.281,2.164,2.443,0.153,0.657,tail_kill,1.087,0.429,6,5,1,0,0,0.833,0.833
song,夜咄ディセイブ,niconico＆ボーカロイド,13.8,260.0,,,,,,,123,635,467,0.0,10.0,14.44,0.325,0.292,0.309,0.312,18,1.0,1.0,5.163,,6.591,0.45,1.288,-0.043,vocal,,,,,,,,,,,,,,,,0.644,0.186,0.165,0.221,0.66,2.7,2.176,2.106,2.765,0.203,0.488,other,0.993,0.174,16,15,0,1,0,0.812,0.938
song,夜明けまであと３秒,ゲーム＆バラエティ,14.0,177.0,,,,,,,97,962,730,0.0,-10.0,2.3,0.026,-0.007,0.22,0.023,0,0.5,0.5,9.918,,9.44,1.033,3.821,-3.061,instrumental,,,,,,,,,,,,,,,,0.375,0.084,0.123,0.037,0.474,2.198,1.742,2.57,1.391,0.525,0.68,other,0.945,0.059,14,11,3,0,0,0.929,1.0
song,妖精村の月誕祭 ～Lunate Elf,東方Project,13.3,132.0,,,,,,,55,606,379,0.0,30.0,20.24,0.571,0.533,0.571,0.606,18,0.5,0.5,11.018,,11.145,0.244,3.644,-2.807,instrumental,,,,,,,,,,,,,,,,0.881,0.121,0.364,0.087,0.508,2.847,2.047,2.589,2.236,0.084,0.509,tail_kill,1.021,0.2,4,4,0,0,0,1.0,1.0
song,幸せになれる隠しコマンドがあるらしい,niconico＆ボーカロイド,14.0,142.0,,,,,,,86,850,495,0.0,-12.5,-0.74,0.464,0.547,0.566,0.512,24,0.75,1.0,9.884,,12.068,-0.078,2.82,-0.538,vocal,,,,,,,,,,,,,,,,0.764,0.042,0.123,0.236,0.391,3.077,0.545,2.297,2.013,0.156,0.436,other,0.86,0.72,12,12,0,0,0,1.0,1.0
song,幻想のサテライト,東方Project,14.1,230.0,,,,,,,124,850,541,0.0,7.5,7.12,0.602,0.664,0.708,0.649,90,0.75,1.0,6.855,,7.45,0.017,2.304,-0.837,vocal,,,,,,,,,,,,,,,,0.503,0.094,0.414,0.331,0.539,2.501,2.81,3.194,2.302,0.177,0.511,fade_out,0.62,0.771,14,7,4,3,0,0.643,0.929
song,幾四音-Ixion-,オンゲキ＆CHUNITHM,13.3,210.0,,,,,,,123,794,562,0.0,5.0,0.35,0.223,0.205,0.225,0.048,66,0.5,0.75,6.455,,7.006,0.8,2.274,-0.44,vocal,,,,,,,,,,,,,,,,0.582,0.187,0.126,0.1,0.389,3.178,2.276,3.09,1.716,0.35,0.565,tail_kill,1.239,0.338,15,15,0,0,0,1.0,1.0
song,放課後ストライド,niconico＆ボーカロイド,13.3,225.0,,,,,,,124,708,469,0.0,-5.0,5.73,0.323,0.343,0.342,0.492,90,0.5,0.5,5.71,,6.539,0.25,1.225,-0.101,vocal,,,,,,,,,,,,,,,,0.876,0.168,0.09,0.252,0.596,2.937,1.653,2.221,2.906,0.079,0.459,tail_kill,1.051,0.352,13,13,0,0,0,1.0,1.0
song,敗北の少年,niconico＆ボーカロイド,13.4,185.0,,,,,,,110,968,608,0.0,-22.5,-13.39,0.017,-0.083,-0.129,-0.018,40,0.0,0.75,8.8,,7.952,1.137,3.784,-3.049,vocal,,,,,,,,,,,,,,,,0.727,0.105,0.204,0.151,0.719,2.805,1.359,2.034,2.862,0.141,0.545,tail_kill,1.151,0.187,14,12,2,0,0,0.857,1.0
song,日本の米は世界一,POPS＆アニメ,13.3,138.0,,,,,,,64,706,413,0.0,-5.0,3.71,0.272,0.263,0.195,0.479,4,0.25,0.5,11.031,,10.661,0.018,3.591,-2.4,vocal,,,,,,,,,,,,,,,,0.722,0.249,0.293,0.228,0.58,3.482,2.602,2.224,2.681,0.131,0.606,other,0.884,0.748,10,10,0,0,0,1.0,1.0
song,最終鬼畜妹・一部声,東方Project,13.9,200.0,,,,,,,110,841,507,0.0,15.0,19.64,0.271,0.24,0.235,0.562,24,0.25,0.25,7.645,,8.568,-0.185,2.42,-0.115,vocal,,,,,,,,,,,,,,,,0.544,0.254,0.174,0.219,0.489,2.628,2.584,1.215,2.214,0.248,0.435,other,0.294,0.648,10,9,0,0,1,0.8,0.9
song,木彫り鯰と右肩ゾンビ,niconico＆ボーカロイド,13.6,150.0,,,,,,,87,925,571,0.0,0.0,10.93,0.185,0.2,0.271,0.254,42,0.5,1.0,10.632,,9.808,0.372,2.772,-1.929,vocal,,,,,,,,,,,,,,,,0.785,0.322,0.49,0.277,0.495,3.369,2.739,3.243,2.131,0.068,0.672,tail_kill,1.035,0.424,12,12,0,0,0,1.0,1.0
song,東方スイーツ！～鬼畜姉妹と受難メイド～,東方Project,13.2,179.0,,,,,,,77,552,343,0.0,0.0,12.06,0.384,0.281,0.242,0.331,24,0.25,0.25,7.169,,7.093,0.547,2.288,-1.563,vocal,,,,,,,,,,,,,,,,0.662,0.152,0.522,0.364,0.587,3.099,2.506,2.76,3.092,0.102,0.469,tail_kill,1.116,0.167,9,6,3,0,0,0.667,0.889
song,東方妖々夢 ～the maximum moving about～,東方Project,13.3,196.975,,,,,,,118,780,531,0.002,2.5,-10.05,0.279,0.28,0.35,0.34,0,0.5,0.5,6.61,,7.381,0.511,1.712,-0.571,vocal,,,,,,,,,,,,,,,,0.533,0.262,0.12,0.177,0.534,3.12,2.727,2.731,2.452,0.288,0.589,tail_kill,1.04,0.783,14,14,0,0,0,1.0,1.0
song,極圏,ゲーム＆バラエティ,14.4,207.0,,,,,,,100,979,688,0.0,0.0,12.34,0.387,0.44,0.47,0.622,14,0.5,0.5,9.79,,8.928,0.234,3.826,-3.119,instrumental,,,,,,,,,,,,,,,,0.645,0.148,0.183,0.071,0.62,2.49,1.466,2.229,1.76,0.252,0.715,tail_kill,1.124,0.609,11,8,2,0,1,0.727,1.0
song,火炎地獄,maimai,14.1,216.0,,,,,,,97,685,432,0.0,22.5,45.23,0.289,0.245,0.266,0.351,0,0.5,0.75,7.062,,7.933,0.289,2.152,-1.063,instrumental,,,,,,,,,,,,,,,,0.623,0.185,0.005,0.31,0.465,2.774,2.303,2.746,2.074,0.31,0.509,tail_kill,1.027,0.561,11,11,0,0,0,1.0,1.0
song,炉心融解,niconico＆ボーカロイド,13.2,165.0,,,,,,,64,416,269,0.0,-5.0,8.74,0.455,0.367,0.332,0.491,12,0.25,0.75,6.5,,7.695,0.191,1.824,0.202,vocal,,,,,,,,,,,,,,,,0.81,0.494,0.323,0.234,0.636,3.637,3.115,3.823,3.731,0.037,0.534,other,0.769,0.829,6,4,1,0,1,0.833,1.0
song,炭★坑★節,maimai,13.3,112.0,,,,,,,45,356,286,0.0,5.0,7.21,-0.159,-0.305,-0.32,-0.202,8,1.0,1.0,7.911,,13.136,1.277,4.479,3.148,vocal,,,,,,,,,,,,,,,,0.731,0.262,0.143,0.112,0.21,3.317,2.616,2.632,1.214,0.189,0.473,other,0.995,-0.6,5,5,0,0,0,1.0,1.0
song,片想いサンバ,niconico＆ボーカロイド,13.2,150.0,,,,,,,81,816,574,0.0,-12.5,0.58,0.149,0.079,0.161,-0.041,20,0.25,0.5,10.074,,8.464,1.235,3.87,-3.762,vocal,,,,,,,,,,,,,,,,0.727,0.021,0.429,0.178,0.291,2.853,0.554,1.871,1.171,0.037,0.468,tail_kill,1.266,-0.607,7,7,0,0,0,1.0,1.0
song,生きてるおばけは生きている,niconico＆ボーカロイド,13.3,140.0,,,,,,,72,829,557,0.0,0.0,2.33,0.335,0.209,0.192,0.381,10,1.0,1.0,11.514,,10.509,0.308,2.917,-2.19,vocal,,,,,,,,,,,,,,,,0.693,0.07,0.056,0.174,0.735,3.134,1.401,1.91,2.764,0.21,0.704,tail_kill,1.14,0.695,9,9,0,0,0,1.0,1.0
song,疾走あんさんぶる,東方Project,13.7,195.0,,,,,,,104,890,670,0.0,25.0,23.04,0.363,0.506,0.517,0.364,54,0.75,1.0,8.558,,7.545,-0.3,2.727,-1.82,instrumental,,,,,,,,,,,,,,,,0.727,0.288,0.402,0.579,0.692,2.635,1.897,2.978,2.483,0.151,0.649,tail_kill,1.373,0.434,12,9,0,3,0,0.417,1.0
song,真・ハンサム体操でズンドコホイ,POPS＆アニメ,13.4,140.0,,,,,,,61,500,306,0.0,-5.0,6.75,0.286,0.221,0.216,0.155,2,0.0,0.0,8.197,,10.509,0.433,3.55,-0.588,vocal,,,,,,,,,,,,,,,,0.667,0.376,0.415,0.203,0.333,2.682,2.527,2.092,2.001,0.163,0.347,tail_kill,1.647,-0.036,8,7,1,0,0,0.875,1.0
song,空威張りビヘイビア,maimai,13.7,186.0,,,,,,,102,887,555,0.0,2.5,4.89,0.42,0.478,0.513,0.629,2,0.0,0.75,8.696,,7.91,0.34,3.175,-2.735,vocal,,,,,,,,,,,,,,,,0.568,0.097,0.086,0.27,0.667,3.278,2.867,2.652,2.747,0.323,0.689,tail_kill,1.207,0.701,12,11,0,1,0,0.833,1.0
song,終点,niconico＆ボーカロイド,13.7,222.0,,,,,,,107,710,470,0.0,-10.0,2.23,0.338,0.387,0.439,0.471,0,0.25,0.25,6.636,,6.627,0.441,2.699,-2.125,vocal,,,,,,,,,,,,,,,,0.715,0.16,0.115,0.198,0.585,2.762,2.14,2.417,2.477,0.164,0.532,other,0.584,0.829,6,6,0,0,0,1.0,1.0
song,緋色のDance,東方Project,13.3,155.0,,,,,,,65,598,476,0.0,10.0,13.94,0.002,-0.142,-0.026,-0.221,8,1.0,1.0,9.2,,9.492,1.391,2.75,-1.467,vocal,,,,,,,,,,,,,,,,0.489,0.063,0.101,0.185,0.524,2.718,1.738,1.525,1.911,0.368,0.622,tail_kill,1.372,-0.5,7,7,0,0,0,1.0,1.0
song,脳漿炸裂ガール,niconico＆ボーカロイド,14.1,155.0,,,,,,,66,678,618,0.0,2.5,12.72,0.126,-0.025,-0.063,0.073,16,1.0,1.0,10.273,,11.055,0.858,2.614,-1.49,vocal,,,,,,,,,,,,,,,,0.591,0.183,0.17,0.15,0.394,1.914,1.513,2.122,1.147,0.194,0.592,other,0.998,0.1,9,7,2,0,0,0.778,1.0
song,言ノ葉カルマ,maimai,13.4,150.0,,,,,,,87,792,605,0.0,0.0,6.32,0.217,0.222,0.333,0.163,16,1.0,1.0,9.103,,9.808,0.752,3.044,-2.051,vocal,,,,,,,,,,,,,,,,0.559,0.152,0.478,0.276,0.628,2.183,2.66,2.404,2.521,0.145,0.504,other,0.947,0.385,12,8,4,0,0,0.667,0.833
song,記憶、記録,maimai,13.6,185.0,,,,,,,81,651,486,0.0,-5.0,5.53,0.345,0.237,0.35,0.369,12,0.25,0.5,8.037,,7.952,0.45,2.977,-2.397,vocal,,,,,,,,,,,,,,,,0.827,0.103,0.356,0.245,0.778,2.982,2.007,2.56,2.892,0.035,0.668,tail_kill,1.182,0.086,6,6,0,0,0,1.0,1.0
song,超絶！Superlative,ゲーム＆バラエティ,13.2,200.0,,,,,,,87,448,325,0.0,-22.5,-16.96,0.113,0.104,0.128,0.187,12,0.25,0.5,5.149,,6.348,0.576,2.092,-0.068,instrumental,,,,,,,,,,,,,,,,0.594,0.055,0.194,0.32,0.45,2.782,1.729,2.809,2.546,0.274,0.382,other,0.874,0.671,8,7,1,0,0,0.875,0.875
song,進捗どうですか？,東方Project,13.6,199.0,,,,,,,103,918,551,0.0,-7.5,3.11,0.498,0.336,0.357,0.408,34,0.25,0.5,8.913,,7.393,0.479,3.567,-3.18,vocal,,,,,,,,,,,,,,,,0.659,0.319,0.167,0.251,0.738,3.234,2.29,2.224,2.873,0.134,0.662,other,0.856,0.821,10,8,0,2,0,0.9,1.0
song,電車で電車でOPA!OPA!OPA! -GMT mashup-,ゲーム＆バラエティ,13.8,134.0,,,,,,,70,572,377,0.0,-7.5,8.86,0.098,0.002,0.033,0.104,22,1.0,1.0,8.171,,12.788,0.511,3.892,1.684,vocal,,,,,,,,,,,,,,,,0.785,0.271,0.3,0.204,0.535,2.488,2.281,2.374,3.025,0.056,0.388,tail_kill,1.101,-0.629,11,10,0,0,1,0.818,0.909
song,響縁,東方Project,13.0,180.0,,,,,,,89,674,422,0.0,0.0,2.76,0.45,0.512,0.471,0.511,10,0.75,0.75,7.573,,7.053,0.389,2.837,-2.338,vocal,,,,,,,,,,,,,,,,0.822,0.294,0.097,0.235,0.478,3.344,2.912,1.545,2.336,0.102,0.524,tail_kill,1.073,0.85,9,6,0,1,2,0.667,1.0
song,頓珍漢の宴,niconico＆ボーカロイド,13.8,145.0,,,,,,,81,987,624,0.0,5.0,9.1,0.522,0.436,0.466,0.661,30,0.5,0.75,12.185,,11.818,-0.073,3.657,-2.365,vocal,,,,,,,,,,,,,,,,0.716,0.179,0.298,0.192,0.569,2.607,1.9,1.827,2.109,0.109,0.571,tail_kill,1.036,0.709,10,10,0,0,0,1.0,1.0
song,魔法少女になるしかねぇ,ゲーム＆バラエティ,14.0,165.0,,,,,,,90,956,676,0.0,0.0,9.09,0.305,0.278,0.317,0.273,14,0.25,0.5,10.622,,10.385,0.413,3.344,-2.674,vocal,,,,,,,,,,,,,,,,0.592,0.223,0.5,0.312,0.601,2.541,1.403,2.062,2.079,0.098,0.547,other,0.93,0.224,10,6,3,1,0,0.5,0.9
song,魔理沙は大変なものを盗んでいきました,東方Project,13.3,170.0,,,,,,,81,584,484,0.0,-7.5,6.05,0.312,0.366,0.457,0.37,22,0.5,0.75,7.21,,8.654,0.371,2.325,-0.815,vocal,,,,,,,,,,,,,,,,0.585,0.076,0.583,0.275,0.462,2.279,1.674,2.257,1.937,0.101,0.479,other,0.867,0.862,8,4,4,0,0,0.5,1.0
song,麒麟,ゲーム＆バラエティ,14.1,220.0,,,,,,,116,837,562,0.0,7.5,10.63,0.724,0.636,0.624,0.646,2,0.0,0.5,7.216,,7.789,-0.159,2.945,-1.467,instrumental,,,,,,,,,,,,,,,,0.635,0.279,0.237,0.123,0.67,2.496,2.75,2.546,2.554,0.19,0.578,other,0.797,0.75,9,7,2,0,0,0.778,1.0
